第一章危害国家安全罪,,,,,,,,,,,,,,,
第三节妨害对公司、企业的管理秩序罪,,,,,,,,,,,,,,,
87,虚报注册资本,刑法第158条,,,,,,,,,,,,,
88,虚假出资、抽逃出资罪,刑法第159条,,,,,,,,,,,,,
89,欺诈发行证券罪,刑法第160条,,,,,,,,,,,,,
90,违规披露、不披露重要信息罪,刑法第161条,,,,,,,,,,,,,
91,妨害清算罪,刑法第162条,,,,,,,,,,,,,
92,虚假破产罪,刑法第162条之二,,,,,,,,,,,,,
93,[隐匿、故意销毁][会计凭证、会计帐簿、财务会计报告],刑法第162条之一,,,,,,,,,,,,,
94,非国家工作人员受贿,刑法第163条,受贿,,,,,,,,,,,,
95,对非国家工作人员行贿,刑法第164条,,,,,,,,,,,,,
96,对外国公职人员、国际公共组织官员行贿罪,刑法第164条第2款,,,,,,,,,,,,,
97,非法经营同类营业罪,刑法第165条,,,,,,,,,,,,,
98,为亲友非法牟利罪,刑法第166条,,,,,,,,,,,,,
99,签订、履行合同失职被骗罪,刑法第167条,,,,,,,,,,,,,
100,国有公司、企业、事业单位人员失职罪,刑法第168条,,,,,,,,,,,,,
101,国有公司、企业、事业单位人员滥用职权罪,刑法第168条,,,,,,,,,,,,,
102,徇私舞弊低价折股、出售国有资产罪,刑法第169条,,,,,,,,,,,,,
103,背信损害上市公司利益罪,刑法第169条之一,,,,,,,,,,,,,
第四节破坏金融管理秩序罪,,,,,,,,,,,,,,,
104,伪造货币,刑法第170条,变造货币,,,,,,,,,,,,
105,[出售、购买、运输]假币,刑法第171条第1款,,,,,,,,,,,,,
106,金融工作人员购买假币、以假币换取货币罪,刑法第171条第2款,,,,,,,,,,,,,
107,[持有、使用]假币,刑法第172条,,,,,,,,,,,,,
108,变造货币,刑法第173条,持有、使用假币罪,出售、购买、运输假币罪,,,,,,,,,,,
109,擅自设立金融机构罪,刑法第174条第1款,,,,,,,,,,,,,
110,伪造、变造、转让金融机构经营许可证、批准文件罪,刑法第174条第2款,,,,,,,,,,,,,
111,高利转贷,刑法第175条,,,,,,,,,,,,,
112,骗取[贷款、票据承兑、金融票证],刑法第175条之一,贷款诈骗,,,,,,,,,,,,
